UAT ID,Wave,Category,Scenario Title,Description,Preconditions,Test Steps,Expected Result,Test Data,Priority,Tester,Test Date,Status,Actual Result,Defects,Comments
P10-UAT-PUB-12,2,Public API,"API call - pagination","API supports pagination parameters","API client with incidents:read, 50+ incidents","1. Call GET /api/public/v1/incidents?page=1&limit=10
2. Call GET /api/public/v1/incidents?page=2&limit=10","Page 1 returns 10 incidents, Page 2 returns next 10, metadata shows total count","50+ incidents in org",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-13,2,Public API,"API call - filtering","API supports filter parameters","API client, incidents with various statuses","1. Call GET /api/public/v1/incidents?status=open
2. Call GET /api/public/v1/incidents?status=closed","Only incidents matching filter status returned","Mix of open/closed incidents",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-01,3,Webhooks,"Admin creates webhook","Create webhook for incident events","Admin logged in","1. Navigate to Settings > Integrations > Webhooks
2. Click 'Create Webhook'
3. Enter name: 'Slack Notifications'
4. Enter URL: https://hooks.slack.com/services/xxx
5. Select events: incident.created, incident.updated
6. Click 'Create'","Webhook created, signing secret displayed ONCE","Valid HTTPS webhook URL",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-02,3,Webhooks,"Webhook sends on incident created","Webhook fires when incident created","Webhook configured for incident.created","1. Create new incident in EHS
2. Check webhook receiver","Webhook received with: event type, timestamp, incident data, valid signature","Webhook receiver/logger",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-03,3,Webhooks,"Webhook signature verification","External system verifies webhook signature","Webhook configured, signing secret known","1. Trigger webhook event
2. Capture webhook payload and headers
3. Verify signature: HMAC-SHA256(timestamp.payload, secret)","Signature in X-Webhook-Signature header matches calculated signature","Signing secret from webhook config",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-04,3,Webhooks,"Webhook sends on action completed","Webhook fires for action events","Webhook configured for action.completed","1. Complete an action in EHS
2. Check webhook receiver","Webhook received with action completion data","",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-05,3,Webhooks,"Webhook retry on failure","Failed webhook retried with backoff","Webhook URL temporarily unreachable","1. Configure webhook to unavailable URL
2. Create incident to trigger webhook
3. Wait for retries
4. Make URL available
5. Wait for retry","Webhook retried up to 5 times with exponential backoff, eventually succeeds","URL that fails then succeeds",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-06,3,Webhooks,"Webhook auto-disabled after failures","Webhook disabled after consecutive failures","Webhook to permanently failing URL","1. Configure webhook to broken URL
2. Trigger 10+ events
3. Check webhook status","Webhook auto-disabled after 10 consecutive failures, admin notified","Permanently broken URL",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-07,3,Webhooks,"Admin views webhook delivery history","View webhook event deliveries","Webhook with delivery history","1. Navigate to webhook details
2. Click 'Delivery History' tab","List of delivery attempts with: event type, timestamp, status, response code, duration","Webhook with 20+ deliveries",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-08,3,Webhooks,"Admin retries failed webhook","Manually retry failed delivery","Webhook with failed delivery","1. Navigate to webhook delivery history
2. Find failed delivery
3. Click 'Retry'","Delivery retried, new attempt logged, status updated","Failed webhook event",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-09,3,Webhooks,"Admin sends test webhook","Send test event to verify URL","Webhook configured","1. Navigate to webhook details
2. Click 'Send Test'","Test event sent, delivery result shown (success/failure with details)","",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-10,3,Webhooks,"Admin regenerates webhook secret","Generate new signing secret","Webhook exists","1. Navigate to webhook details
2. Click 'Regenerate Secret'
3. Confirm action","New secret generated and displayed, old signatures no longer valid","",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-11,3,Webhooks,"Webhook to MS Teams","Webhook formats Adaptive Card for Teams","Teams incoming webhook URL configured","1. Configure webhook with Teams URL
2. Trigger incident event
3. Check Teams channel","Message appears in Teams as Adaptive Card with incident details","Teams incoming webhook URL",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-WH-12,3,Webhooks,"Admin toggles webhook active state","Enable/disable webhook","Webhook exists","1. Navigate to webhook details
2. Toggle 'Active' OFF
3. Trigger event
4. Toggle 'Active' ON
5. Trigger event","Inactive webhook doesn't fire, active webhook fires","",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SEC-01,4,Security,"Org A cannot access Org B SSO config","SSO configuration is org-scoped","Two orgs: A and B, each with SSO","1. Admin of Org A navigates to SSO settings
2. Attempt to view/modify Org B SSO","Only Org A SSO visible, no access to Org B configuration","Two separate organisations",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SEC-02,4,Security,"Org A API client cannot access Org B data","API clients are org-scoped","API clients for Org A and Org B","1. Org A API client calls /api/public/v1/incidents
2. Response inspected","Only Org A incidents returned, Org B data inaccessible","Both orgs have incidents",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SEC-03,4,Security,"Org A webhooks only fire for Org A events","Webhooks are org-scoped","Webhooks for Org A and Org B","1. Create incident in Org A
2. Create incident in Org B
3. Check both webhook receivers","Org A webhook fires for Org A incident only, Org B webhook fires for Org B only","",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SEC-04,4,Security,"Non-admin cannot access integrations","RBAC enforces admin-only access","Manager user logged in","1. Navigate to Settings > Integrations
2. Attempt to view SSO/API Clients/Webhooks","Access denied or menu hidden for non-admin users","Manager user",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SEC-05,4,Security,"API secrets not logged","API keys and secrets not in logs","API client created, webhook created","1. Create API client
2. Create webhook
3. Check backend logs","Full API key and webhook secret not visible in logs, only prefixes/masked","Check server logs",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SEC-06,4,Security,"SSO client secret encrypted at rest","SSO secrets stored encrypted","SSO provider configured","1. Configure SSO provider
2. Query database directly for sso_providers","client_secret column contains encrypted value, not plaintext","Direct DB access",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SEC-07,4,Security,"API key hash stored not plaintext","API keys are hashed","API client created","1. Create API client
2. Query database for api_clients","key_hash column contains bcrypt hash, not the actual API key","Direct DB access",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SEC-08,4,Security,"HTTPS required for webhooks","Webhook URLs must be HTTPS","Creating webhook","1. Try to create webhook with HTTP URL
2. Try to create webhook with HTTPS URL","HTTP URL rejected with error, HTTPS URL accepted","URL: http://example.com/hook",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SEC-09,4,Security,"SSO state expires","PKCE state expires after timeout","SSO flow initiated","1. Start SSO login
2. Wait 15 minutes without completing
3. Complete callback","Error: 'SSO state expired', must restart login","Wait for expiry",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SEC-10,4,Security,"Rate limiting prevents abuse","Cannot bypass rate limiting","API client at rate limit","1. Exhaust rate limit (1000 calls)
2. Wait for reset
3. Make calls again","Rate limit enforced consistently, resets after minute","Rapid API calls",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-INT-01,4,Integration Events,"Integration events logged","All integration activity logged","SSO login, API call, webhook delivery","1. Perform SSO login
2. Make API call
3. Trigger webhook
4. Check integration events log","All three events logged with type, timestamp, details, status","",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-INT-02,4,Integration Events,"Admin views integration events","Admin can filter and view events","Integration events exist","1. Navigate to Integrations > Activity Log
2. Filter by event type: 'SSO Login'
3. Filter by date range","Filtered list of events matching criteria","",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-INT-03,4,Integration Events,"Integration events statistics","Dashboard shows integration stats","Multiple integration events","1. Navigate to Integrations dashboard
2. View statistics cards","Shows: Total SSO logins, Total API calls, Webhook delivery success rate","",Low,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
